timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1776112558916,200,3,6.591796875E-7,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558916,200,4,8.7890625E-7,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558916,200,5,1.0986328125E-6,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558930,200,6,1.318359375E-6,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558930,200,7,1.5380859375E-6,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558931,200,9,1.9775390625E-6,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558931,200,9,1.9775390625E-6,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558931,200,10,2.197265625E-6,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558931,200,11,2.4169921875E-6,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558932,200,12,2.63671875E-6,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558932,200,13,2.8564453125E-6,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558932,200,16,3.515625E-6,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558947,200,17,3.7353515625000003E-6,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558947,200,18,3.955078125E-6,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558947,200,19,4.1748046875E-6,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558948,200,19,4.1748046875E-6,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558948,200,20,4.39453125E-6,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558948,200,21,4.614257812500001E-6,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558948,200,22,4.833984375E-6,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558963,200,22,4.833984375E-6,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558964,200,23,5.0537109375E-6,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558964,200,23,5.0537109375E-6,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558964,200,24,5.2734375E-6,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558964,200,24,5.2734375E-6,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558965,200,25,5.4931640625E-6,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558965,200,25,5.4931640625E-6,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558966,200,26,5.712890625E-6,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558966,200,26,5.712890625E-6,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558980,200,27,5.9326171875000005E-6,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558980,200,27,5.9326171875000005E-6,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558981,200,28,6.15234375E-6,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558981,200,28,6.15234375E-6,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558981,200,29,6.3720703125E-6,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558981,200,29,6.3720703125E-6,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558981,200,29,6.3720703125E-6,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558981,200,32,7.03125E-6,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558981,200,33,7.2509765625E-6,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558997,200,41,9.008789062499999E-6,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558998,200,1791,3.935302734375E-4,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558998,200,1791,3.935302734375E-4,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558998,200,1791,3.935302734375E-4,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558998,200,1611,3.5397949218750005E-4,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558998,200,-979,-2.151123046875E-4,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558999,200,-921,-2.023681640625E-4,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558999,200,-12,-2.63671875E-6,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112558999,200,1791,3.935302734375E-4,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112559017,200,1791,3.935302734375E-4,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112559017,200,1791,3.935302734375E-4,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112559017,200,1791,3.935302734375E-4,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112559018,200,1791,3.935302734375E-4,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
1776112559018,200,1791,3.935302734375E-4,0,0,0,1223932,461981,49086,211629,215931,233979,253554,211985,Tag0,unknown
